day,campaign,campaign_type,ad_group,ad_name,ad_type,campaign_bid_strategy_type,ad_group_bid_strategy_type,ctr,avg_cpc,impr,cvr,clicks,cost__conv,conversions,cost,avg_cpm,mes,cost_con_iva,dia_semana,cuartil,quadrant,categoria_campana,outlier_flag
2025-07-11,Adaptalo a ti - 2024 - GDL,Search,Oficinas Virtuales,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.1923,20.98,26.0,0.0,5.0,0.0,0.0,104.92,4035.38,7,121.7072,Friday,Q2,Éxito Total,Conversiones,False
2025-07-11,Adaptalo a ti - 2024 - MTY,Search,Domicilio Fiscal,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.16670000000000001,31.73,6.0,0.0,1.0,0.0,0.0,31.73,5288.33,7,36.806799999999996,Friday,Q1,Éxito Total,Conversiones,True
2025-07-11,Adaptalo a ti - 2024 - MTY,Search,Oficinas Por Hora,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0526,48.47,76.0,0.0,4.0,0.0,0.0,193.88,2551.04,7,224.90079999999998,Friday,Q3,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-11,Adaptalo a ti - 2024 - MTY,Search,Oficinas Virtuales,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.2727,24.52,11.0,0.0,3.0,0.0,0.0,73.57,6688.18,7,85.34119999999999,Friday,Q2,Éxito Total,Conversiones,True
2025-07-11,Adaptalo a ti - 2024 - TIJ,Search,Oficinas Por Hora,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.1707,17.86,41.0,0.0,7.0,0.0,0.0,125.04,3049.65,7,145.0464,Friday,Q2,Éxito Total,Conversiones,False
2025-07-11,Marca - 2024 - CDMX,Search,OFIFLEX BC,--,Responsive search ad,Maximize Conversion Value,Maximize Conversion Value,0.2368,12.55,114.0,0.037000000000000005,27.0,338.98,1.0,338.98,2973.53,7,393.2168,Friday,Q3,Éxito Total,Conversiones,False
2025-07-11,Marca - 2024 - MTY,Search,OFIFLEX BC,--,Responsive search ad,Maximize Conversion Value,Maximize Conversion Value,0.29410000000000003,14.52,34.0,0.0,10.0,0.0,0.0,145.24,4271.73,7,168.4784,Friday,Q2,Éxito Total,Conversiones,False
2025-07-11,Oficinas All-Inclusive - 2024 - CDMX,Search,Oficinas CDMX,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0768,41.39,950.0,0.0616,73.0,672.18,4.49,3021.3,3180.31,7,3504.708,Friday,Q4,Éxito Total,Conversiones,False
2025-07-11,Oficinas All-Inclusive - 2024 - CDMX,Search,Renta de Oficinas,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0729,48.35,700.0,0.0196,51.0,2465.71,1.0,2465.71,3522.45,7,2860.2236,Friday,Q4,Éxito Total,Conversiones,False
2025-07-11,Oficinas All-Inclusive - 2024 - GDL,Search,Oficinas GDL,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.047599999999999996,31.29,126.0,0.0,6.0,0.0,0.0,187.74,1490.0,7,217.7784,Friday,Q3,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-11,Oficinas All-Inclusive - 2024 - GDL,Search,Renta de Oficinas,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0779,34.29,154.0,0.0,12.0,0.0,0.0,411.52,2672.21,7,477.36319999999995,Friday,Q3,Éxito Total,Conversiones,False
2025-07-11,Oficinas All-Inclusive - 2024 - MTY,Search,Oficinas MTY,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0723,34.46,429.0,0.0,31.0,0.0,0.0,1068.17,2489.91,7,1239.0772,Friday,Q4,Éxito Total,Conversiones,False
2025-07-11,Oficinas All-Inclusive - 2024 - MTY,Search,Renta de Oficinas,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0417,11.19,312.0,0.07690000000000001,13.0,145.47,1.0,145.47,466.24,7,168.74519999999998,Friday,Q2,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-11,YouTube - Awareness - Video Reach (Cold),Video,Cold,Skippable,Responsive video ad,Target CPM,Target CPM,0.0003,34.44,48687.0,0.0,15.0,0.0,0.0,516.65,10.61,7,599.314,Friday,Q4,"Poca visibilidad, buen cierre",Awareness,False
2025-07-11,YouTube - Awareness - Video Reach (Cold),Video,Cold,Bumper,Responsive video ad,Target CPM,Target CPM,0.0002,26.05,32928.0,0.0,8.0,0.0,0.0,208.36,6.33,7,241.6976,Friday,Q3,"Poca visibilidad, buen cierre",Awareness,False
2025-07-11,YouTube - Awareness - Video Reach (Cold),Video,Cold,Skippable - 30s,Responsive video ad,Target CPM,Target CPM,0.0027,2.05,10443.0,0.0,28.0,0.0,0.0,57.53,5.51,7,66.73479999999999,Friday,Q2,"Poca visibilidad, buen cierre",Awareness,False
2025-07-11,YouTube - Awareness - Video Reach (Cold),Video,Cold,Skippable - 2 min,Responsive video ad,Target CPM,Target CPM,0.0003,38.35,30929.0,0.0,10.0,0.0,0.0,383.53,12.4,7,444.8947999999999,Friday,Q3,"Poca visibilidad, buen cierre",Awareness,False
2025-07-11,YouTube - Awareness - Video Reach (Cold),Video,Cold,Bumper - 6s,Responsive video ad,Target CPM,Target CPM,0.0002,42.43,24558.0,0.0,4.0,0.0,0.0,169.71,6.91,7,196.8636,Friday,Q3,"Poca visibilidad, buen cierre",Awareness,False
2025-07-11,YouTube - Awareness - Video Reach (Cold),Video,Cold,COLD #1 Vertical 2024,Responsive video ad,Target CPM,Target CPM,0.0011,5.98,8882.0,0.0,10.0,0.0,0.0,59.8,6.73,7,69.368,Friday,Q2,"Poca visibilidad, buen cierre",Awareness,False
2025-07-11,YouTube - Awareness - Video Reach (Cold),Video,Cold,COLD #2 Vertical 2024,Responsive video ad,Target CPM,Target CPM,0.0007000000000000001,8.86,4250.0,0.0,3.0,0.0,0.0,26.58,6.25,7,30.832799999999995,Friday,Q1,"Poca visibilidad, buen cierre",Awareness,False
2025-07-11,YT - Awareness - PUE (Inxignia),Video,Nuevos prospectos,Inxignia Bienvenida - VO - 30s,Responsive video ad,Target CPM,Target CPM,0.001,12.08,8140.0,0.0,8.0,0.0,0.0,96.61,11.87,7,112.06759999999998,Friday,Q2,"Poca visibilidad, buen cierre",Awareness,False
2025-07-11,YT - Awareness - PUE (Inxignia),Video,Nuevos prospectos,Inxignia Apertura - 30s,Responsive video ad,Target CPM,Target CPM,0.0012,8.93,13948.0,0.0,17.0,0.0,0.0,151.81,10.88,7,176.09959999999998,Friday,Q2,"Poca visibilidad, buen cierre",Awareness,False
2025-07-11,YT - OFIFLEX El lounge - 2025,Video,IOC - General,Executive Office Horizontal #1,Responsive video ad,Target CPM,Target CPM,0.0016,12.35,13959.0,0.0,22.0,0.0,0.0,271.73,19.47,7,315.2068,Friday,Q3,"Poca visibilidad, buen cierre",Awareness,False
2025-07-11,YT - OFIFLEX El lounge - 2025,Video,IOC - General,General Vertical #1,Responsive video ad,Target CPM,Target CPM,0.0014000000000000002,6.55,62975.0,0.0,89.0,0.0,0.0,582.84,9.26,7,676.0944,Friday,Q4,"Poca visibilidad, buen cierre",Awareness,False
2025-07-11,YT - OFIFLEX El lounge - 2025,Video,IOC - General,Adaptalo a ti Horizontal #1,Responsive video ad,Target CPM,Target CPM,0.0016,12.31,14566.0,0.0,23.0,0.0,0.0,283.05,19.43,7,328.33799999999997,Friday,Q3,"Poca visibilidad, buen cierre",Awareness,False
2025-07-11,YT - PODCAST - 2025,Video,Promocion,Video de promocion,Responsive video ad,Target CPV,Target CPV,0.0024,4.41,18667.0,0.0,44.0,0.0,0.0,193.94,10.39,7,224.97039999999998,Friday,Q3,"Poca visibilidad, buen cierre",Awareness,False
2025-07-11,YT - PODCAST - 2025,Video,Promocion,Episodio #1,Responsive video ad,Target CPV,Target CPV,0.0034000000000000002,3.63,888.0,0.0,3.0,0.0,0.0,10.9,12.27,7,12.644,Friday,Q1,"Poca visibilidad, buen cierre",Awareness,False
2025-07-11,YT - PODCAST - 2025,Video,Promocion,Episodio #2,Responsive video ad,Target CPV,Target CPV,0.0032,4.31,22758.0,0.0,73.0,0.0,0.0,314.3,13.81,7,364.58799999999997,Friday,Q3,"Poca visibilidad, buen cierre",Awareness,False
2025-07-11,YT - PODCAST - 2025,Video,Promocion,Episodio #2.1,Responsive video ad,Target CPV,Target CPV,0.0029,4.14,7827.0,0.0,23.0,0.0,0.0,95.15,12.16,7,110.374,Friday,Q2,"Poca visibilidad, buen cierre",Awareness,False
2025-07-11,YT - PODCAST - 2025,Video,Promocion,Episodio #2.3,Responsive video ad,Target CPV,Target CPV,0.0039000000000000003,2.85,1815.0,0.0,7.0,0.0,0.0,19.92,10.98,7,23.1072,Friday,Q1,"Poca visibilidad, buen cierre",Awareness,False
2025-07-11,YT - PODCAST - 2025,Video,Promocion,Episodio #2.2,Responsive video ad,Target CPV,Target CPV,0.0,0.0,139.0,0.0,0.0,0.0,0.0,2.21,15.92,7,2.5635999999999997,Friday,Q1,"Poca visibilidad, buen cierre",Awareness,False
2025-07-12,Boost - 2025,Search,General & Servicios,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0825,18.4,97.0,0.0,8.0,0.0,0.0,147.24,1517.93,7,170.7984,Saturday,Q2,Éxito Total,Conversiones,False
2025-07-12,Boost - 2025,Search,General & Servicios,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.1456,6.79,371.0,0.0,54.0,0.0,0.0,366.48,987.83,7,425.1168,Saturday,Q3,Éxito Total,Conversiones,False
2025-07-12,Boost - 2025,Search,General & Servicios,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.225,9.52,120.0,0.0,27.0,0.0,0.0,256.92,2140.96,7,298.0272,Saturday,Q3,Éxito Total,Conversiones,False
2025-07-12,Competencia - 2024 - CDMX,Search,IOS Offices,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0263,42.55,38.0,0.0,1.0,0.0,0.0,42.55,1119.74,7,49.35799999999999,Saturday,Q1,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-12,Competencia - 2024 - CDMX,Search,WeWork,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.028999999999999998,20.37,241.0,0.0,7.0,0.0,0.0,142.6,591.69,7,165.41599999999997,Saturday,Q2,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-12,Cowork - 2024 - CDMX,Search,Cowork CDMX,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0909,55.03,55.0,0.0,5.0,0.0,0.0,275.13,5002.37,7,319.15079999999995,Saturday,Q3,Éxito Total,Conversiones,False
2025-07-12,Cowork - 2024 - CDMX,Search,Cowork CDMX,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.1,49.13,40.0,0.0,4.0,0.0,0.0,196.54,4913.46,7,227.98639999999997,Saturday,Q3,Éxito Total,Conversiones,False
2025-07-12,Cowork - 2024 - GDL,Search,Cowork GDL,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0659,37.95,91.0,0.0,6.0,0.0,0.0,227.67,2501.87,7,264.0972,Saturday,Q3,Éxito Total,Conversiones,False
2025-07-12,Cowork - 2024 - GDL,Search,Cowork GDL,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0588,22.66,51.0,0.0,3.0,0.0,0.0,67.99,1333.14,7,78.8684,Saturday,Q2,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-12,Cowork - 2024 - MTY,Search,Cowork MTY,--,Responsive search ad,Maximize Conversion Value,Maximize Conversion Value,0.0366,39.64,82.0,0.0,3.0,0.0,0.0,118.92,1450.24,7,137.94719999999998,Saturday,Q2,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-12,Cowork - 2024 - MTY,Search,Cowork MTY,--,Responsive search ad,Maximize Conversion Value,Maximize Conversion Value,0.125,2.76,8.0,0.0,1.0,0.0,0.0,2.76,345.0,7,3.2015999999999996,Saturday,Q1,Éxito Total,Conversiones,True
2025-07-12,Adaptalo a ti - 2024 - CDMX,Search,Oficinas Por Hora,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0968,25.04,124.0,0.0833,12.0,300.42,1.0,300.42,2422.76,7,348.4872,Saturday,Q3,Éxito Total,Conversiones,False
2025-07-12,Adaptalo a ti - 2024 - CDMX,Search,Oficinas Virtuales,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0625,59.9,16.0,0.0,1.0,0.0,0.0,59.9,3743.75,7,69.484,Saturday,Q2,Éxito Total,Conversiones,False
2025-07-12,Adaptalo a ti - 2024 - CDMX,Search,Oficinas Virtuales,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.4286,15.89,7.0,0.0,3.0,0.0,0.0,47.68,6811.25,7,55.3088,Saturday,Q2,Éxito Total,Conversiones,True
2025-07-12,Adaptalo a ti - 2024 - GDL,Search,Oficinas Por Hora,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0698,8.9,43.0,0.0,3.0,0.0,0.0,26.69,620.7,7,30.9604,Saturday,Q1,Éxito Total,Conversiones,False
2025-07-12,Adaptalo a ti - 2024 - MTY,Search,Oficinas Por Hora,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.09519999999999999,40.61,42.0,0.0,4.0,0.0,0.0,162.42,3867.17,7,188.40719999999996,Saturday,Q2,Éxito Total,Conversiones,False
