nombre_de_la_campaaa,nombre_del_conjunto_de_anuncios,nombre_del_anuncio,fecha,tipo_de_resultado,resultados,frecuencia,costo_por_resultado,importe_gastado_mxn,impresiones,cpm_costo_por_mil_impresiones,clics_en_el_enlace,cpc_costo_por_clic_en_el_enlace,ctr_porcentaje_de_clics_en_el_enlace,objetivo,mes,importe_gastado_mxn_con_iva,dia_semana,cuartil,CVR,quadrant,categoria_campana,outlier_flag
Lead Gen - Reels,Reels - Audiencia Abierta,Abril - Esta es tu seÃ±al,30/06/2023,Sin resultado,0,1.01149425,0,16.18,264,61.28787879,1,16.18,0.37878788,Clientes potenciales,6,18.7688,Friday,Q1,0,Interés sin conversión,Conversiones,FALSE
Lead Gen - Reels,Reels - Audiencia Abierta,Marzo - Go Go,30/06/2023,Sin resultado,0,1.01008065,0,56.02,1002,55.90818363,4,14.005,0.3992016,Clientes potenciales,6,64.9832,Friday,Q2,0,Interés sin conversión,Conversiones,FALSE
Lead Gen - Reels,Reels - Audiencia Abierta,Abril - Cosas por las que ya no tienes que preocuparte,30/06/2023,Sin resultado,0,1,0,28.97,374,77.45989305,0,0,0,Clientes potenciales,6,33.6052,Friday,Q1,0,Campaña fallida,Conversiones,FALSE
Lead Gen - Reels,Reels - Audiencia Abierta,Marzo - Audio Que hermoso,30/06/2023,Sin resultado,0,1.00842697,0,23.83,359,66.37883008,0,0,0,Clientes potenciales,6,27.6428,Friday,Q1,0,Campaña fallida,Conversiones,FALSE
Lead Gen - Reels,Reels - Lookalike,Marzo - Audio Que hermoso,07/01/2023,Sin resultado,0,1,0,0.07,2,35,0,0,0,Clientes potenciales,1,0.0812,Saturday,Q1,0,Campaña fallida,Conversiones,TRUE
Awareness - WARM,WARM - Audiencias Similares,warm #2,07/01/2023,Alcance,4373,1.00503087,2.78,12.17,4395,2.76905575,1,12.17,0.02275313,Reconocimiento,1,14.1172,Saturday,Q1,0.022753129,"Poca visibilidad, buen cierre",Awareness,FALSE
Awareness - WARM,WARM - Audiencias Similares,warm #1,07/01/2023,Alcance,187,1.01069519,2.46,0.46,189,2.43386243,0,0,0,Reconocimiento,1,0.5336,Saturday,Q1,0,Campaña fallida,Awareness,TRUE
Awareness - COLD,COLD - Intereses,Cold #1,07/01/2023,Alcance,6031,1,2.84,17.13,6031,2.84032499,5,3.426,0.08290499,Reconocimiento,1,19.8708,Saturday,Q1,0.082904991,"Poca visibilidad, buen cierre",Awareness,FALSE
Awareness - COLD,COLD - Intereses,Cold #2 - 2024,07/01/2023,Alcance,988,1.02935223,2.64,2.61,1017,2.56637168,1,2.61,0.09832842,Reconocimiento,1,3.0276,Saturday,Q1,0.098328417,"Poca visibilidad, buen cierre",Awareness,FALSE
Lead Gen - Reels,Reels - Lookalike,Abril - Cosas por las que ya no tienes que preocuparte,07/01/2023,Sin resultado,0,1,0,8.08,78,103.5897436,0,0,0,Clientes potenciales,1,9.3728,Saturday,Q1,0,Campaña fallida,Conversiones,FALSE
Lead Gen - Reels,Reels - Audiencia Abierta,Abril - Cosas por las que ya no tienes que preocuparte,07/01/2023,Sin resultado,0,1.02564103,0,7.18,40,179.5,0,0,0,Clientes potenciales,1,8.3288,Saturday,Q1,0,Campaña fallida,Conversiones,TRUE
Lead Gen - Imagen,Lead Ads - Lookalike,Coworking - 2023,07/01/2023,Sin resultado,0,1,0,0.51,10,51,0,0,0,Clientes potenciales,1,0.5916,Saturday,Q1,0,Campaña fallida,Conversiones,TRUE
Lead Gen - Imagen,Lead Ads - Lookalike,Corporativo - 2023,07/01/2023,Sin resultado,0,1,0,0.03,3,10,0,0,0,Clientes potenciales,1,0.0348,Saturday,Q1,0,Campaña fallida,Conversiones,TRUE
Awareness - COLD,COLD - Abierta,Cold #1,07/01/2023,Alcance,1267,1.00710339,2.47,3.13,1276,2.45297806,2,1.565,0.15673981,Reconocimiento,1,3.6308,Saturday,Q1,0.156739812,"Poca visibilidad, buen cierre",Awareness,FALSE
Awareness - COLD,COLD - Abierta,Cold #2 - 2024,07/01/2023,Alcance,4336,1.04958487,2.75,11.92,4551,2.61920457,1,11.92,0.02197319,Reconocimiento,1,13.8272,Saturday,Q1,0.021973193,"Poca visibilidad, buen cierre",Awareness,FALSE
Lead Gen - Reels,Reels - Audiencia Abierta,Marzo - Go Go,07/01/2023,Sin resultado,0,1.0239521,0,10.36,171,60.58479532,0,0,0,Clientes potenciales,1,12.0176,Saturday,Q1,0,Campaña fallida,Conversiones,FALSE
Lead Gen - Reels,Reels - Audiencia Abierta,Abril - Esta es tu seÃ±al,07/01/2023,Sin resultado,0,1,0,1.13,18,62.77777778,0,0,0,Clientes potenciales,1,1.3108,Saturday,Q1,0,Campaña fallida,Conversiones,TRUE
Lead Gen - Reels,Reels - Audiencia Abierta,Marzo - Audio Que hermoso,07/01/2023,Sin resultado,0,1,0,0.69,3,230,0,0,0,Clientes potenciales,1,0.8004,Saturday,Q1,0,Campaña fallida,Conversiones,TRUE
Awareness - WARM,WARM - Intereses Oficinas,warm #1,07/01/2023,Alcance,3990,1.05914787,2.76,11.01,4226,2.60530052,0,0,0,Reconocimiento,1,12.7716,Saturday,Q1,0,Campaña fallida,Awareness,FALSE
Awareness - HOT,HOT - Prospectos sin cerrar,Hot #1,07/01/2023,Alcance,3216,1.00373134,2.59,8.33,3228,2.58054523,3,2.77666667,0.0929368,Reconocimiento,1,9.6628,Saturday,Q1,0.092936803,"Poca visibilidad, buen cierre",Awareness,FALSE
Awareness - WARM,WARM - Intereses Oficinas,warm #2,07/01/2023,Alcance,500,1.018,2.52,1.26,509,2.47544204,0,0,0,Reconocimiento,1,1.4616,Saturday,Q1,0,Campaña fallida,Awareness,TRUE
Ecommerce - TrÃ¡fico,General,Adaptalo a ti #2,07/01/2023,Sin resultado,0,1,0,0.01,1,10,0,0,0,TrÃ¡fico,1,0.0116,Saturday,Q1,0,Campaña fallida,Tráfico,FALSE
Ecommerce - TrÃ¡fico,General,Salas de Juntas #3,07/01/2023,Clics en el enlace,7,1.00828157,0.7,4.89,487,10.04106776,7,0.69857143,1.43737166,TrÃ¡fico,1,5.6724,Saturday,Q1,1.437371663,Éxito Total,Tráfico,FALSE
Awareness - HOT,HOT - Prospectos sin cerrar,Hot #2,07/01/2023,Alcance,607,1.00329489,2.69,1.63,609,2.67651888,0,0,0,Reconocimiento,1,1.8908,Saturday,Q1,0,Campaña fallida,Awareness,FALSE
Ecommerce - TrÃ¡fico,General,Salas de Juntas #1,07/01/2023,Sin resultado,0,1,0,0.05,8,6.25,0,0,0,TrÃ¡fico,1,0.058,Saturday,Q1,0,Campaña fallida,Tráfico,FALSE
Ecommerce - TrÃ¡fico,General,Cowork #2,07/01/2023,Sin resultado,0,1,0,0.02,9,2.22222222,0,0,0,TrÃ¡fico,1,0.0232,Saturday,Q1,0,Campaña fallida,Tráfico,FALSE
Ecommerce - TrÃ¡fico,General,Cowork #1,07/01/2023,Clics en el enlace,2,1.02739726,1.2,2.39,300,7.96666667,2,1.195,0.66666667,TrÃ¡fico,1,2.7724,Saturday,Q1,0.666666667,Éxito Total,Tráfico,FALSE
Ecommerce - TrÃ¡fico,General,Salas de Juntas #2,07/01/2023,Sin resultado,0,1,0,0.23,36,6.38888889,0,0,0,TrÃ¡fico,1,0.2668,Saturday,Q1,0,Campaña fallida,Tráfico,FALSE
Ecommerce - TrÃ¡fico,General,Adaptalo a ti #1,07/01/2023,Sin resultado,0,1,0,0.04,6,6.66666667,0,0,0,TrÃ¡fico,1,0.0464,Saturday,Q1,0,Campaña fallida,Tráfico,FALSE
Ecommerce - TrÃ¡fico,General,Daypass #1,07/01/2023,Clics en el enlace,3,1.00930233,0.63,1.89,217,8.70967742,3,0.63,1.38248848,TrÃ¡fico,1,2.1924,Saturday,Q1,1.382488479,Éxito Total,Tráfico,FALSE
CONTENIDO,Descargables,El poder de la colaboraciÃ³n: cÃ³mo los roles adecuados pueden transformar tu equipo de trabajo,07/01/2023,Sin resultado,0,1,0,4.01,61,65.73770492,0,0,0,Clientes potenciales,1,4.6516,Saturday,Q1,0,Campaña fallida,Conversiones,TRUE
CONTENIDO,Boost ArtÃ­culos,12-jun,07/01/2023,Sin resultado,0,1,0,2.53,257,9.84435798,0,0,0,Clientes potenciales,1,2.9348,Saturday,Q1,0,Campaña fallida,Conversiones,FALSE
Awareness - HOT,HOT - Visitantes,Hot #2,07/01/2023,Alcance,896,1.00892857,2.92,2.62,904,2.89823009,1,2.62,0.11061947,Reconocimiento,1,3.0392,Saturday,Q1,0.110619469,"Poca visibilidad, buen cierre",Awareness,FALSE
Awareness - HOT,HOT - Visitantes,Hot #1,07/01/2023,Alcance,3039,1.03323462,2.8,8.51,3140,2.71019108,1,8.51,0.03184713,Reconocimiento,1,9.8716,Saturday,Q1,0.031847134,"Poca visibilidad, buen cierre",Awareness,FALSE
Awareness - WARM,WARM - Audiencias Similares,warm #2,07/02/2023,Alcance,2466,1.07218167,5.54,13.66,2644,5.16641452,2,6.83,0.07564297,Reconocimiento,2,15.8456,Tuesday,Q1,0.075642965,"Poca visibilidad, buen cierre",Awareness,FALSE
Awareness - HOT,HOT - Prospectos sin cerrar,Hot #2,07/02/2023,Alcance,29,1,3.79,0.11,29,3.79310345,0,0,0,Reconocimiento,2,0.1276,Tuesday,Q1,0,Campaña fallida,Awareness,TRUE
Awareness - HOT,HOT - Prospectos sin cerrar,Hot #1,07/02/2023,Alcance,1068,1.04868914,4.2,4.49,1120,4.00892857,1,4.49,0.08928571,Reconocimiento,2,5.2084,Tuesday,Q1,0.089285714,"Poca visibilidad, buen cierre",Awareness,FALSE
Awareness - WARM,WARM - Intereses Oficinas,warm #2,07/02/2023,Alcance,12,1,3.33,0.04,12,3.33333333,0,0,0,Reconocimiento,2,0.0464,Tuesday,Q1,0,Campaña fallida,Awareness,TRUE
Awareness - WARM,WARM - Intereses Oficinas,warm #1,07/02/2023,Alcance,1899,1.01369142,3.7,7.02,1925,3.64675325,2,3.51,0.1038961,Reconocimiento,2,8.1432,Tuesday,Q1,0.103896104,"Poca visibilidad, buen cierre",Awareness,FALSE
Awareness - COLD,COLD - Abierta,Cold #2 - 2024,07/02/2023,Alcance,6429,1.04075284,3.62,23.3,6691,3.48228964,8,2.9125,0.11956359,Reconocimiento,2,27.028,Tuesday,Q1,0.119563593,"Poca visibilidad, buen cierre",Awareness,FALSE
Awareness - WARM,WARM - Audiencias Similares,warm #1,07/02/2023,Alcance,91,1.02197802,5.49,0.5,93,5.37634409,0,0,0,Reconocimiento,2,0.58,Tuesday,Q1,0,Campaña fallida,Awareness,TRUE
Awareness - COLD,COLD - Intereses,Cold #1,07/02/2023,Alcance,10389,1.01232072,3.54,36.73,10517,3.49244081,11,3.33909091,0.10459256,Reconocimiento,2,42.6068,Tuesday,Q1,0.104592564,"Poca visibilidad, buen cierre",Awareness,FALSE
Awareness - COLD,COLD - Abierta,Cold #1,07/02/2023,Alcance,64,1,4.22,0.27,64,4.21875,0,0,0,Reconocimiento,2,0.3132,Tuesday,Q1,0,Campaña fallida,Awareness,TRUE
Lead Gen - Reels,Reels - Audiencia Abierta,Marzo - Go Go,07/02/2023,Sin resultado,0,1,0,0.12,5,24,0,0,0,Clientes potenciales,2,0.1392,Tuesday,Q1,0,Campaña fallida,Conversiones,TRUE
